ref,archive,media_count,classification,building_id,class_method,verification,third_party_credit_flag,visual_file_inspected
F1098,False,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
F1099,False,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
F1100,False,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
F1101,False,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
F1102,False,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
F1103,False,1,BATIMENT_NOMME_AUTO,maison-lotus,named_alias,IDENTITE_COMPATIBLE_ARTICLE_SITE,False,False
F1104,False,1,SUJET_INCONNU,,unresolved,NON_IDENTIFIE,False,False
F1105,False,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
F1106,False,1,BATIMENT_NOMME_AUTO,maison-delune-maitre-verrier,named_alias,IDENTITE_COMPATIBLE_ARTICLE_SITE,False,False
F1107,False,1,BATIMENT_NOMME_AUTO,maison-delune-maitre-verrier,named_alias,IDENTITE_COMPATIBLE_ARTICLE_SITE,False,False
F1108,False,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
F1109,False,1,SUJET_INCONNU,,unresolved,NON_IDENTIFIE,False,False
F1110,False,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
F1111,False,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
F1112,False,1,SUJET_INCONNU,,unresolved,NON_IDENTIFIE,False,False
F1113,False,1,AUTRE_CONTENU,,object_rule,CATEGORIE_AUTO,False,False
F1114,False,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
F1115,False,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
F1116,False,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
F1117,False,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
F1118,False,1,AUTRE_CONTENU,,object_rule,CATEGORIE_AUTO,False,False
F1119,False,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
F1120,False,1,BATIMENT_NOMME_AUTO,maison-des-hiboux,named_alias,IDENTITE_COMPATIBLE_ARTICLE_SITE,False,False
F1121,False,1,SUJET_INCONNU,,unresolved,NON_IDENTIFIE,False,False
F1122,False,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
F1123,False,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
F1124,False,1,BATIMENT_NOMME_AUTO,maison-aux-tulipes,named_alias,IDENTITE_COMPATIBLE_ARTICLE_SITE,False,False
F1125,False,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
F1126,False,1,AUTRE_CONTENU,,object_rule,CATEGORIE_AUTO,False,False
F1127,False,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
F1128,False,1,AMBIGU_IDENTITE,,named_alias,A_EXAMINER,False,False
F1129,False,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
F1130,False,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
F1131,False,1,BATIMENT_NOMME_AUTO,maison-des-hiboux,named_alias,IDENTITE_COMPATIBLE_ARTICLE_SITE,False,False
F1132,False,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
F1133,False,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
F1134,False,1,BATIMENT_NOMME_AUTO,maison-coilliot-lille,named_alias,IDENTITE_COMPATIBLE_ARTICLE_SITE,False,False
F1135,False,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
F1136,False,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
F1137,False,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
F1138,False,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
F1139,False,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
F1140,False,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
F1141,False,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
F1142,False,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
F1143,False,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
F1144,False,1,BATIMENT_NOMME_AUTO,maison-fernand-lefever,named_alias,IDENTITE_COMPATIBLE_ARTICLE_SITE,False,False
F1145,False,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
F1146,False,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
F1147,False,1,BATIMENT_NOMME_AUTO,maison-delune-maitre-verrier,named_alias,IDENTITE_COMPATIBLE_ARTICLE_SITE,False,False
F1148,False,1,SUJET_INCONNU,,unresolved,NON_IDENTIFIE,False,False
F1149,False,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
F1150,False,1,BATIMENT_NOMME_AUTO,lhuitriere-lille,named_alias,IDENTITE_COMPATIBLE_ARTICLE_SITE,False,False
F1151,False,1,SUJET_INCONNU,,unresolved,NON_IDENTIFIE,False,False
F1152,False,1,AUTRE_CONTENU,,object_rule,CATEGORIE_AUTO,False,False
F1153,False,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
F1154,False,1,BATIMENT_NOMME_AUTO,maison-coilliot-lille,named_alias,IDENTITE_COMPATIBLE_ARTICLE_SITE,False,False
F1155,False,1,SUJET_INCONNU,,unresolved,NON_IDENTIFIE,False,False
F1156,False,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
F1157,False,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
F1158,False,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
F1159,False,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
F1160,False,1,SUJET_INCONNU,,unresolved,NON_IDENTIFIE,False,False
F1161,False,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
F1162,False,1,SUJET_INCONNU,,unresolved,NON_IDENTIFIE,False,False
A0001,True,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
A0002,True,1,BATIMENT_NOMME_AUTO,maison-delune-maitre-verrier,named_alias,IDENTITE_COMPATIBLE_ARTICLE_SITE,False,False
A0003,True,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
A0004,True,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
A0005,True,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
A0006,True,1,BATIMENT_NOMME_AUTO,musee-horta,named_alias,NOM_EXPLICITE_LEGENDE,False,False
A0007,True,1,BATIMENT_NOMME_AUTO,maison-coilliot-lille,named_alias,IDENTITE_COMPATIBLE_ARTICLE_SITE,False,False
A0008,True,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
A0009,True,1,BATIMENT_NOMME_AUTO,magasin-niguet,named_alias,NOM_EXPLICITE_LEGENDE,True,False
A0010,True,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
A0011,True,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
A0012,True,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
A0013,True,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
A0014,True,1,BATIMENT_NOMME_AUTO,maison-bacot,named_alias,NOM_EXPLICITE_LEGENDE,False,False
A0015,True,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
A0016,True,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
A0017,True,1,BATIMENT_NOMME_AUTO,maison-piot,named_alias,SERIE_MULTIVUES_VERIFIEE_PARTIELLEMENT,False,False
A0018,True,1,AUTRE_CONTENU,,object_rule,CATEGORIE_AUTO,False,False
A0019,True,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
A0020,True,1,SUJET_INCONNU,,unresolved,NON_IDENTIFIE,False,False
A0021,True,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
A0022,True,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
A0023,True,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
A0024,True,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
A0025,True,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
A0026,True,1,AUTRE_CONTENU,,object_rule,CATEGORIE_AUTO,False,False
A0027,True,1,BATIMENT_NOMME_AUTO,maison-delune-maitre-verrier,named_alias,IDENTITE_COMPATIBLE_ARTICLE_SITE,False,False
A0028,True,1,SUJET_INCONNU,,unresolved,NON_IDENTIFIE,False,False
A0029,True,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
A0030,True,1,SUJET_INCONNU,,unresolved,NON_IDENTIFIE,False,False
A0031,True,1,SUJET_INCONNU,,unresolved,NON_IDENTIFIE,False,False
A0032,True,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
