ref,archive,media_count,classification,building_id,class_method,verification,third_party_credit_flag,visual_file_inspected
A0148,True,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
A0149,True,1,SUJET_INCONNU,,unresolved,NON_IDENTIFIE,False,False
A0150,True,1,SUJET_INCONNU,,unresolved,NON_IDENTIFIE,False,False
A0151,True,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
A0152,True,1,SUJET_INCONNU,,unresolved,NON_IDENTIFIE,False,False
A0153,True,1,SUJET_INCONNU,,unresolved,NON_IDENTIFIE,False,False
A0154,True,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
A0155,True,1,SUJET_INCONNU,,unresolved,NON_IDENTIFIE,False,False
A0156,True,1,SUJET_INCONNU,,unresolved,NON_IDENTIFIE,False,False
A0157,True,1,AUTRE_CONTENU,,object_rule,CATEGORIE_AUTO,False,False
A0158,True,1,SUJET_INCONNU,,unresolved,NON_IDENTIFIE,False,False
A0159,True,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
A0160,True,1,SUJET_INCONNU,,unresolved,NON_IDENTIFIE,False,False
A0161,True,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
A0162,True,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
A0163,True,1,SUJET_INCONNU,,unresolved,NON_IDENTIFIE,False,False
A0164,True,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
A0165,True,1,SUJET_INCONNU,,unresolved,NON_IDENTIFIE,False,False
A0166,True,1,SUJET_INCONNU,,unresolved,NON_IDENTIFIE,False,False
